#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2025-06-04T01:13:27 [V7.5.1]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2025-06-04T01:13:27	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=99999&-source=J/ApJ/608/243/photom&-order=I&-out=Seq&-out=Xpos&-out=Ypos&-out=Bmag&-out=e_Bmag&-out=Vmag&-out=e_Vmag&-out=Icmag&-out=e_Icmag&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.5.1	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_16080243
#Name: J/ApJ/608/243
#Title: CCD BVI photometry of M12 stars (Hargis+, 2004)
#INFO	ivoid=ivo://cds.vizier/j/apj/608/243	    IVOID of underlying data collection
#INFO	creator=Hargis J.R.	    First author or institution
#INFO	cites=bibcode:2004ApJ...608..243H	    Article or Data origin sources
#INFO	editor=Astrophysical Journal (AAS)	    Editor name (article)
#INFO	original_date=2004	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJ/608/243	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.16080243	    Dataset identifier that can be used for citation
#INFO	publication_date=2004-08-20	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJ_608_243_photom:
#Name: J/ApJ/608/243/photom
#Title: BVI Photometry for M12 stars
#Column	Seq	(I5)	Sequential number	[ucd=meta.id]
#Column	Xpos	(F8.3)	X coordinate in pixels (1)	[ucd=pos.cartesian.x;instr.det]
#Column	Ypos	(F8.3)	Y coordinate in pixels (1)	[ucd=pos.cartesian.y;instr.det]
#Column	Bmag	(F7.4)	? Johnson B magnitude	[ucd=phot.mag;em.opt.B]
#Column	e_Bmag	(F7.4)	? Johnson B magnitude error	[ucd=stat.error]
#Column	Vmag	(F7.4)	? Johnson V magnitude	[ucd=phot.mag;em.opt.V]
#Column	e_Vmag	(F7.4)	? Johnson V magnitude error	[ucd=stat.error]
#Column	Icmag	(F7.4)	? Cousins I magnitude	[ucd=phot.mag;em.opt.I]
#Column	e_Icmag	(F7.4)	? Cousins I magnitude error	[ucd=stat.error]
Seq	Xpos	Ypos	Bmag	e_Bmag	Vmag	e_Vmag	Icmag	e_Icmag
 	pix	pix	mag	mag	mag	mag	mag	mag
-----	--------	--------	-------	-------	-------	-------	-------	-------
    1	1242.984	 938.838	11.0034	 0.0099	10.0186	 0.0152	 8.9042	 0.0181
    2	 917.196	 573.393	11.5230	 0.0094	10.3187	 0.0194	 9.0775	 0.0147
    3	 463.264	1438.510	11.7610	 0.0090	10.4538	 0.0138	 9.1276	 0.0243
    4	 729.780	 898.025	12.0401	 0.0091	10.5873	 0.0141	 9.1030	 0.0161
    5	 884.131	1996.670	10.9190	 0.0113	10.8169	 0.0129	10.6967	 0.0125
    6	 722.641	 767.039	13.5694	 0.0081	11.7531	 0.0104	 9.8799	 0.0133
    7	 937.319	1035.343	13.6952	 0.0078	11.8484	 0.0102	 9.8931	 0.0181
    8	1390.851	1736.958	13.6708	 0.0078	11.8498	 0.0097	 9.9220	 0.0159
    9	1020.112	 894.856	13.5560	 0.0074	11.8536	 0.0101	10.0857	 0.0132
   10	1170.745	 939.836	13.2110	 0.0076	11.8592	 0.0118	11.3019	 0.0122
   11	1027.232	1100.023	13.6299	 0.0076	11.9507	 0.0101	10.1953	 0.0150
   12	1082.592	1139.910	13.6442	 0.0083	11.9598	 0.0111	10.1910	 0.0143
   13	1557.513	 171.804	13.2370	 0.0071	11.9732	 0.0098	10.6590	 0.0113
   14	 777.523	1093.978	13.7144	 0.0077	12.0999	 0.0106	10.4650	 0.0140
   15	 991.829	1204.624	13.5265	 0.0074	12.1708	 0.0105	10.7032	 0.0132
   16	1232.163	1599.565	13.7242	 0.0077	12.1740	 0.0099	10.5137	 0.0136
   17	 827.025	1033.687	13.3283	 0.0078	12.2291	 0.0105	11.0752	 0.0111
   18	1170.840	 936.481	13.8594	 0.0090	12.3325	 0.0117	10.7377	 0.0148
   19	1080.301	1018.588	13.8444	 0.0080	12.3440	 0.0098	10.7391	 0.0152
   20	1445.102	 740.611	13.6523	 0.0075	12.5130	 0.0107	11.1959	 0.0101
   21	 417.643	 457.891	14.0262	 0.0077	12.5374	 0.0102	10.9201	 0.0119
   22	1364.070	 902.371	13.2522	 0.0075	12.5435	 0.0103	11.6121	 0.0103
   23	 229.359	 921.529	14.0654	 0.0083	12.5550	 0.0101	10.8935	 0.0117
   24	 969.670	1231.194	14.0048	 0.0079	12.5853	 0.0102	11.0501	 0.0105
   25	1388.808	 707.778	14.0201	 0.0076	12.6325	 0.0108	11.1078	 0.0099
   26	 989.431	1122.922	14.0391	 0.0080	12.6366	 0.0101	11.1099	 0.0103
   27	1084.410	 830.002	14.0459	 0.0076	12.6404	 0.0109	11.1107	 0.0102
